time,vs,hs,dist,alt,ang,weight,acc,fuel,dvs,NN
525.0,7.612806811690972,1.9332703416564183,-93649.88976995503,44.48141355388034,34.433829435497266,192.81220653892873,3.224782334542471,27.812206538928724,6.0,0.9869482500490343
526.0,6.502145709504518,1.9332703416564183,-93651.82304029669,37.97926784437582,32.13232625639384,192.60835671242572,3.0034665201501114,27.60835671242572,6.0,0.918242461725239
527.0,5.511896871262017,1.9332703416564183,-93653.75631063835,32.4673709731138,29.642248696117797,192.43336321141294,2.5806501027798467,27.43336321141293,6.0,0.788259013571118
528.0,4.835609073047488,1.9332703416564183,-93655.68958098,27.631761900066316,27.143078281818127,192.29422974138444,2.0533025160846896,27.29422974138443,6.0,0.6267273424707175
529.0,4.588525925586665,1.9332703416564183,-93657.62285132166,23.04323597447965,24.579762573478757,192.18805989322462,1.5676978710996963,27.188059893224626,6.0,0.47824255927839554
530.0,4.754009462587584,1.9332703416564183,-93659.55612166332,18.289226511892068,21.889711516218888,192.10336644444914,1.2511299411380226,27.103366444449136,1.0,0.38150202151120577
531.0,5.195383146863258,1.9332703416564183,-93661.48939200498,13.09384336502881,19.58013199723681,191.88136644444913,3.2832786824164555,26.881366444449135,1.0,1.0
532.0,3.6958895656579833,1.9332703416564183,-93663.42266234664,9.397953799370827,18.164990007511967,191.65936644444912,3.287081720488731,26.659366444449134,1.0,1.0
533.0,2.1670431673306405,1.9332703416564183,-93665.3559326883,7.230910632040186,16.665936335444552,191.4544837243438,3.0368781348117406,26.454483724343774,1.0,0.9228951356097301
534.0,0.8584607403431934,1.9332703416564183,-93667.28920302996,6.372449891696993,15.336099357535977,191.28461411124803,2.520131678032595,26.284614111248022,1.0,0.7651784373682491
535.0,0.03436178994290895,1.9332703416564183,-93669.22247337161,6.338088101754084,14.095408293942794,191.15695436419895,1.8951843094049223,26.15695436419895,1.0,0.5750439056264487
536.0,-0.19242723027900044,1.9332703416564183,-93671.15574371327,6.530515332033085,12.955090317300687,191.06456155611218,1.372289055580498,26.064561556112174,1.0,0.416183820210697
537.0,0.08494296146281721,1.9332703416564183,-93673.08901405493,6.445572370570268,11.902415357553293,190.99011556820625,1.1061600791545658,25.990115568206246,1.0,0.33534228786455034
538.0,0.6190115177527511,1.9332703416564183,-93675.02228439659,5.826560852817517,10.931906898021204,190.91378971812694,1.1345455227722205,25.913789718126946,1.0,0.3438101354923462
539.0,1.1219845407584224,1.9332703416564183,-93676.95555473825,4.704576312059094,10.036814468698696,190.82112470524862,1.3780878830687615,25.821124705248614,0.0,0.4174099679204067
540.0,1.3818232114116458,1.9332703416564183,-93678.8888250799,3.3227531006474487,9.211373593309172,190.66312319416065,2.3517010478443594,25.663123194160647,0.0,0.7117185184142631
541.0,0.6758074073718752,1.9332703416564183,-93680.82209542156,2.6469456932755735,8.450142779616025,190.47823599660154,2.7545398151124445,25.478235996601544,0.0,0.8328252142301958
542.0,-0.4334287989192167,1.9332703416564183,-93682.75536576322,3.08037449219479,7.748137517590137,190.30643283615453,2.5619181764412966,25.306432836154535,0.0,0.7738881101216653
543.0,-1.3555424410205803,1.9332703416564183,-93684.68863610488,4.4359169332153705,7.1007515800982635,190.17347271834308,1.9840793137722288,25.173472718343092,0.0,0.5989194496010981
544.0,-1.7066977112855066,1.9332703416564183,-93686.62190644654,6.142614644500878,6.5037393300640645,190.0834201092914,1.3444344657517584,25.083420109291403,1.0,0.4056423831157179
545.0,-1.4237261716101497,1.9332703416564183,-93688.5551767882,7.566340816111027,5.95318450923586,190.06568009609563,0.2648730726411824,25.065680096095637,1.0,0.07990996935029981
546.0,-0.06724842817611298,1.9332703416564183,-93690.48844712986,7.6335892442871405,5.445475494738054,190.0628028853364,0.04295978716524073,25.062802885336403,1.0,0.012960408825370084
547.0,1.5101092110064145,1.9332703416564183,-93692.42171747152,6.123480033280726,4.977281382557955,190.02403120330663,0.5790201671017912,25.024031203306635,1.0,0.17464721635030886
548.0,2.5530656853224043,1.9332703416564183,-93694.35498781317,3.570414347958322,4.545530227878183,189.924478430834,1.4875103352586536,24.92447843083401,0.0,0.4484359120388489
549.0,2.689606115930762,1.9332703416564183,-93696.28825815483,0.8808082320275603,4.147388896268519,189.72584995372725,2.970999513999531,24.725849953727252,0.0,0.8947228698502723
